Distance,Depth,15/06/2015 16:35,15/06/2015 16:37,15/06/2015 16:39,15/06/2015 16:41,15/06/2015 16:43,15/06/2015 16:45,15/06/2015 16:47,15/06/2015 16:49,15/06/2015 16:52,15/06/2015 16:54,15/06/2015 16:56,15/06/2015 16:58,15/06/2015 17:00,15/06/2015 17:02,15/06/2015 17:04,15/06/2015 17:06,15/06/2015 17:08,15/06/2015 17:10,15/06/2015 17:12,15/06/2015 17:14,15/06/2015 17:16,15/06/2015 17:18,15/06/2015 17:20,15/06/2015 17:23,15/06/2015 17:25,15/06/2015 17:27,15/06/2015 17:29
48.421,0.097070064,15.535,15.365,15.428,15.463,15.543,15.375,15.607,15.591,15.424,15.534,15.575,15.516,15.523,15.543,15.564,15.482,15.545,15.706,15.63,15.568,15.517,15.549,15.532,15.632,15.607,15.565,15.568
48.675,0.10111465,15.512,15.447,15.521,15.495,15.536,15.347,15.382,15.528,15.403,15.48,15.506,15.549,15.567,15.49,15.689,15.467,15.475,15.657,15.701,15.542,15.639,15.475,15.552,15.663,15.43,15.627,15.576
48.929,0.105159236,15.547,15.526,15.584,15.452,15.598,15.425,15.353,15.533,15.497,15.537,15.518,15.564,15.612,15.529,15.827,15.503,15.574,15.68,15.683,15.495,15.616,15.556,15.587,15.673,15.374,15.605,15.819
49.183,0.109203822,15.438,15.458,15.625,15.381,15.535,15.323,15.383,15.426,15.505,15.523,15.455,15.513,15.616,15.457,15.751,15.571,15.573,15.656,15.56,15.522,15.529,15.666,15.611,15.629,15.475,15.617,15.829
49.437,0.113248408,15.382,15.437,15.571,15.516,15.375,15.357,15.33,15.322,15.438,15.523,15.461,15.485,15.496,15.476,15.577,15.544,15.501,15.589,15.567,15.48,15.493,15.606,15.569,15.54,15.591,15.558,15.783
49.691,0.117292994,15.469,15.412,15.445,15.489,15.412,15.376,15.366,15.356,15.305,15.481,15.466,15.48,15.456,15.482,15.585,15.445,15.492,15.508,15.588,15.435,15.496,15.479,15.568,15.534,15.544,15.535,15.624
49.945,0.12133758,15.495,15.47,15.412,15.518,15.509,15.403,15.371,15.395,15.269,15.443,15.42,15.45,15.369,15.524,15.55,15.511,15.442,15.343,15.554,15.527,15.522,15.53,15.551,15.502,15.502,15.5,15.525
50.199,0.125382166,15.436,15.52,15.267,15.433,15.397,15.368,15.312,15.343,15.261,15.436,15.47,15.518,15.323,15.509,15.56,15.361,15.27,15.246,15.389,15.497,15.425,15.472,15.445,15.475,15.53,15.438,15.544
50.453,0.129426752,15.417,15.388,15.206,15.357,15.395,15.37,15.277,15.188,15.239,15.343,15.436,15.447,15.392,15.49,15.555,15.262,15.189,15.321,15.308,15.407,15.328,15.382,15.325,15.431,15.372,15.495,15.45
50.707,0.133471338,15.403,15.32,15.24,15.341,15.4,15.344,15.222,15.231,15.145,15.278,15.364,15.378,15.294,15.417,15.43,15.341,15.269,15.289,15.202,15.445,15.254,15.491,15.266,15.367,15.342,15.432,15.321
